index,file,true_class_idx,true_class_name,pred_class_idx,pred_class_name,true_confidence,pred_confidence
0,ILSVRC2012_val_00000001.JPEG,65,sea_snake,34,leatherback_turtle,0.1358,0.2277
1,ILSVRC2012_val_00000002.JPEG,970,alp,795,ski,0.0669,0.9069
3,ILSVRC2012_val_00000004.JPEG,809,soup_bowl,968,cup,0.0193,0.7079
4,ILSVRC2012_val_00000005.JPEG,516,cradle,162,beagle,0.0011,0.1176
5,ILSVRC2012_val_00000006.JPEG,57,garter_snake,67,diamondback,0.1242,0.4599
7,ILSVRC2012_val_00000008.JPEG,415,bakery,434,bath_towel,0.0071,0.3287
8,ILSVRC2012_val_00000009.JPEG,674,mousetrap,335,fox_squirrel,0.1359,0.2854
9,ILSVRC2012_val_00000010.JPEG,332,Angora,153,Maltese_dog,0.0183,0.1499
16,ILSVRC2012_val_00000017.JPEG,108,sea_anemone,749,quill,0.0101,0.2342
17,ILSVRC2012_val_00000018.JPEG,23,vulture,21,kite,0.36,0.5167
18,ILSVRC2012_val_00000019.JPEG,478,carton,526,desk,0.0771,0.6771
21,ILSVRC2012_val_00000022.JPEG,173,Ibizan_hound,830,stretcher,0.0124,0.0776
27,ILSVRC2012_val_00000028.JPEG,167,English_foxhound,166,Walker_hound,0.1577,0.5164
29,ILSVRC2012_val_00000030.JPEG,858,tile_roof,757,recreational_vehicle,0.0346,0.1173
32,ILSVRC2012_val_00000033.JPEG,150,sea_lion,360,otter,0.0376,0.7858
36,ILSVRC2012_val_00000037.JPEG,32,tailed_frog,114,slug,0.0018,0.3453
38,ILSVRC2012_val_00000039.JPEG,777,scabbard,786,sewing_machine,0.0271,0.2203
39,ILSVRC2012_val_00000040.JPEG,74,garden_spider,309,bee,0.0354,0.4863
40,ILSVRC2012_val_00000041.JPEG,516,cradle,431,bassinet,0.1565,0.7093
43,ILSVRC2012_val_00000044.JPEG,198,standard_schnauzer,196,miniature_schnauzer,0.2017,0.6504
44,ILSVRC2012_val_00000045.JPEG,256,Newfoundland,197,giant_schnauzer,0.0767,0.2516
47,ILSVRC2012_val_00000048.JPEG,167,English_foxhound,162,beagle,0.071,0.238
49,ILSVRC2012_val_00000050.JPEG,394,sturgeon,689,overskirt,0.0037,0.0868
54,ILSVRC2012_val_00000055.JPEG,358,polecat,359,black-footed_ferret,0.1948,0.3452
58,ILSVRC2012_val_00000059.JPEG,872,tripod,840,swab,0.022,0.9425
60,ILSVRC2012_val_00000061.JPEG,474,cardigan,735,poncho,0.1058,0.4037
61,ILSVRC2012_val_00000062.JPEG,183,Kerry_blue_terrier,206,curly-coated_retriever,0.005,0.6034
62,ILSVRC2012_val_00000063.JPEG,107,jellyfish,5,electric_ray,0.2172,0.3858
